iter	Passed	Remaining
787	2550	686
788	2553	682
789	2557	679
790	2560	676
791	2563	673
792	2566	669
793	2569	666
794	2572	663
795	2575	660
796	2578	656
797	2581	653
798	2584	650
799	2587	646
800	2590	643
801	2593	640
802	2596	636
803	2598	633
804	2602	630
805	2605	627
806	2609	624
807	2612	620
808	2615	617
809	2619	614
810	2622	611
811	2625	607
812	2629	604
813	2632	601
814	2635	598
815	2638	595
816	2641	591
817	2644	588
818	2648	585
819	2650	581
820	2654	578
821	2657	575
822	2660	572
823	2664	569
824	2668	565
825	2671	562
826	2675	559
827	2679	556
828	2683	553
829	2686	550
830	2689	547
831	2692	543
832	2696	540
833	2699	537
834	2702	534
835	2706	530
836	2709	527
837	2713	524
838	2716	521
839	2719	518
840	2722	514
841	2725	511
842	2729	508
843	2732	505
844	2736	501
845	2740	498
846	2744	495
847	2749	492
848	2753	489
849	2756	486
850	2761	483
851	2766	480
852	2770	477
853	2774	474
854	2780	471
855	2784	468
856	2789	465
857	2793	462
858	2797	459
859	2801	456
860	2806	453
861	2810	449
862	2814	446
863	2817	443
864	2821	440
865	2824	437
866	2828	433
867	2831	430
868	2835	427
869	2839	424
870	2846	421
871	2851	418
872	2855	415
873	2860	412
874	2873	410
875	2878	407
876	2883	404
877	2888	401
878	2892	398
879	2896	395
880	2900	391
881	2903	388
882	2907	385
883	2911	382
884	2914	378
885	2919	375
886	2923	372
887	2927	369
888	2931	366
889	2936	362
890	2940	359
891	2944	356
892	2948	353
893	2953	350
894	2958	347
895	2962	343
896	2966	340
897	2970	337
898	2974	334
899	2978	330
900	2983	327
901	2988	324
902	2992	321
903	2996	318
904	3001	315
905	3009	312
906	3012	308
907	3016	305
908	3020	302
909	3022	298
910	3026	295
911	3030	292
912	3033	289
913	3036	285
914	3040	282
915	3044	279
916	3048	275
917	3051	272
918	3056	269
919	3060	266
920	3064	262
921	3067	259
922	3070	256
923	3074	252
924	3077	249
925	3080	246
926	3083	242
927	3086	239
928	3089	236
929	3091	232
930	3094	229
931	3097	226
932	3101	222
933	3103	219
934	3106	215
935	3109	212
936	3112	209
937	3115	205
938	3118	202
939	3120	199
940	3123	195
941	3126	192
942	3128	189
943	3131	185
944	3134	182
945	3136	179
946	3139	175
947	3142	172
948	3144	168
949	3147	165
950	3149	162
951	3152	158
952	3155	155
953	3159	152
954	3161	148
955	3164	145
956	3167	142
957	3169	138
958	3172	135
959	3175	132
960	3178	128
961	3180	125
962	3183	122
963	3186	118
964	3189	115
965	3192	112
966	3195	109
967	3198	105
968	3201	102
969	3204	99
970	3208	95
971	3211	92
972	3214	89
973	3217	85
974	3220	82
975	3223	79
976	3226	75
977	3229	72
978	3232	69
979	3235	66
980	3238	62
981	3241	59
982	3244	56
983	3247	52
984	3251	49
985	3254	46
986	3257	42
987	3260	39
988	3263	36
989	3266	32
990	3269	29
991	3272	26
992	3275	23
993	3278	19
994	3281	16
995	3283	13
996	3286	9
997	3290	6
998	3294	3
999	3297	0
